Timestamp,1. Which age group do you fall into?,2. How long have you lived in this estate?,3. Which floor range is your unit located on?,"4. On a normal day, how would you rate the noise level from 1 to 10?",5. What are the main noise sources you notice most often?,6. Does the noise ever spike during specific hours / events?,"7. How does the noise level affect your ability to concentrate (studying, working)?",What are some existing solutions in your living area to address the noise issue? Are they effective?,What are some solutions you can think of to noise pollution in your specific living area? (We need your point of view ! :),8. How do you find the quality of air in your living area?,What are the reasons for your answer to Qn 8?,"9. Convenience: When there are big festivals or religious practices, events etc, how does it affect your routine?",10. Does living so close to these cultural/religious hubs make you feel more connected to the community?,"11. Overall, would you say living here improves or reduces your Quality of Life?",12. Which site do you live in?
26/02/2026 08:00:15,60+,More than 10 years,Low Rise (Floors 1–5),7,"Commercial Events (Busking, Festivals, Crowds)",Early morning market noise,Severely affects rest quality,None,Move loading docks,3,Oily smell,Convenient,Yes,Neutral,Albert Centre
26/02/2026 09:30:00,41 – 59,5 - 10 years,Mid Rise (Floors 6–10),6,Construction / Renovation,Intermittent,Slightly distracting,Go out,Better timing,6,Dust,Good,Yes,Improves significantly,Albert Centre
26/02/2026 11:20:44,26 – 40,1 - 5 years,High Rise (Floors 11+),5,Road Traffic / MRT,Rush hour,Neutral,None,Trees,7,Breezy,Okay,No,Improves significantly,Albert Centre
26/02/2026 13:05:12,60+,More than 10 years,Low Rise (Floors 1–5),8,"Commercial Events (Busking, Festivals, Crowds)",Morning delivery trucks,Moderately distracting,Closed doors,Regulation,4,Cooking fumes,Crowded,Yes,Neutral,Albert Centre
26/02/2026 15:45:00,41 – 59,1 - 5 years,Mid Rise (Floors 6–10),7,Road Traffic / MRT,Constant traffic,Moderately distracting,AC,Noise cameras,6,Exhaust,Convenient,Neutral,Neutral,Albert Centre
27/02/2026 10:00:00,18 – 25,1 - 5 years,Mid Rise (Floors 6–10),8,Road Traffic / MRT,Constant traffic hum,Highly distracting,Headphones,Double glazing,5,Dusty,Perfect location,No,Reduces slightly,Bras Basah Complex
27/02/2026 12:15:22,26 – 40,5 - 10 years,High Rise (Floors 11+),6,Road Traffic / MRT,Peak periods,Slightly distracting,Close windows,Road design,6,Normal,Busy,Neutral,Improves significantly,Bras Basah Complex
27/02/2026 14:40:11,41 – 59,More than 10 years,Low Rise (Floors 1–5),9,Road Traffic / MRT,24/7 road noise,Severely affects rest quality,None,Barriers,5,Exhaust fumes,Very accessible,Neutral,Reduces significantly,Bras Basah Complex
27/02/2026 16:20:00,60+,More than 10 years,Mid Rise (Floors 6–10),7,Commercial Events,Atrium events,Moderately distracting,None,Limit sound levels,6,Fine,Good food access,Yes,Neutral,Bras Basah Complex
27/02/2026 17:55:44,26 – 40,1 - 5 years,Low Rise (Floors 1–5),8,Road Traffic / MRT,Buses and sirens,Highly distracting,Curtains,Speed limits,5,Poor air quality,Busy,No,Reduces slightly,Bras Basah Complex
